DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,10:58:00,1491.625,1492.8,1491.625,1492.35,0.72,0.72,0.00,0.62,0.29,2.16,68.39
20200102,10:59:00,1492.35,1492.8,1492.35,1492.65,0.30,0.30,0.00,0.60,0.27,2.24,69.17
20200102,11:00:00,1492.65,1492.9,1492.275,1492.325,+AC0-0.33,0.00,0.33,0.55,0.27,2.05,67.22
20200102,11:01:00,1492.325,1492.35,1491.225,1491.475,+AC0-0.85,0.00,0.85,0.51,0.31,1.65,62.27
20200102,11:02:00,1491.475,1491.475,1489.35,1490.65,+AC0-0.82,0.00,0.82,0.48,0.35,1.37,57.83
20200102,11:03:00,1490.65,1490.65,1490.1,1490.375,+AC0-0.28,0.00,0.28,0.44,0.34,1.29,56.38
20200102,11:04:00,1490.375,1490.5,1488.6,1488.65,+AC0-1.72,0.00,1.72,0.41,0.44,0.93,48.23
20200102,11:05:00,1488.65,1488.875,1488.1,1488.5,+AC0-0.15,0.00,0.15,0.38,0.42,0.91,47.59
20200102,11:06:00,1488.5,1488.575,1487.125,1487.575,+AC0-0.92,0.00,0.92,0.35,0.46,0.78,43.71
20200102,11:07:00,1487.575,1487.65,1487.05,1487.175,+AC0-0.40,0.00,0.40,0.33,0.45,0.73,42.12
20200102,11:08:00,1487.175,1487.175,1485.775,1486.25,+AC0-0.92,0.00,0.92,0.31,0.49,0.63,38.60
20200102,11:09:00,1486.25,1486.65,1486.075,1486.525,0.28,0.28,0.00,0.30,0.45,0.67,40.20
20200102,11:10:00,1486.525,1486.9,1486.1,1486.75,0.22,0.22,0.00,0.30,0.42,0.71,41.54
20200102,11:11:00,1486.75,1487.35,1486.675,1487.25,0.50,0.50,0.00,0.31,0.39,0.80,44.52
20200102,11:12:00,1487.25,1487.25,1485.725,1485.8,+AC0-1.45,0.00,1.45,0.29,0.47,0.62,38.41
20200102,11:13:00,1485.8,1485.875,1484.225,1484.625,+AC0-1.17,0.00,1.17,0.27,0.52,0.52,34.30
20200102,11:14:00,1484.625,1484.75,1483.85,1484.325,+AC0-0.30,0.00,0.30,0.25,0.50,0.50,33.33
20200102,11:15:00,1484.325,1484.6,1484.175,1484.55,0.22,0.22,0.00,0.25,0.46,0.53,34.83
20200102,11:16:00,1484.55,1484.975,1484.325,1484.925,0.38,0.38,0.00,0.26,0.43,0.60,37.36
20200102,11:17:00,1484.925,1484.975,1484.375,1484.6,+AC0-0.33,0.00,0.33,0.24,0.42,0.56,36.05
20200102,11:18:00,1484.6,1484.975,1484.15,1484.95,0.35,0.35,0.00,0.25,0.39,0.63,38.55
20200102,11:19:00,1484.95,1484.975,1484.45,1484.65,+AC0-0.30,0.00,0.30,0.23,0.39,0.59,37.21
20200102,11:20:00,1484.65,1484.85,1484.5,1484.65,0.00,0.00,0.00,0.21,0.36,0.59,37.21
20200102,11:21:00,1484.65,1484.725,1484.375,1484.575,+AC0-0.08,0.00,0.08,0.20,0.34,0.58,36.84
20200102,11:22:00,1484.575,1484.625,1484.35,1484.6,0.02,0.02,0.00,0.19,0.31,0.59,37.06
20200102,11:23:00,1484.6,1484.75,1482.225,1483.2,+AC0-1.40,0.00,1.40,0.17,0.39,0.44,30.50
